PGC,Name,RAJ2000,DEJ2000,TT,Bmag,Ksmag,logK,HRV,VLS,Dist,e_Dist,PGC1,CF3
83338,"PGC083338",161.7279,12.788,10.0,17.82,13.6,7.71,0,0,,,32256,0
4689200,"PGC4689200",161.7534,12.9598,10.0,18.24,16.1,6.71,843,710,,,32256,0
83329,"PGC083329",161.5591,12.9604,-4.0,18.59,14.5,7.35,887,753,,,32256,0
83339,"PGC083339",161.7369,12.9992,10.0,16.95,15.0,7.15,832,699,,,32256,0
4689214,"PGC4689214",162.8379,12.8493,-2.0,17.1,12.7,8.07,630,497,,,32256,0
1418571,"PGC1418571",162.3405,12.9056,,17.98,15.2,8.41,3036,2903,,,1418571,0
1424345,"PGC1424345",162.4675,13.1618,10.0,18.67,13.35,7.81,760,628,,,32256,0
32471,"UGC05944",162.5791,13.2726,9.7,15.11,12.0,8.04,1073,942,,,32471,0
32508,"NGC3412",162.7221,13.4122,-2.0,11.31,7.74,10.06,841,711,11.27,13,32256,1
4689211,"PGC4689211",162.5379,13.4836,-3.0,18.96,16.6,6.51,0,0,,,32256,0
4095057,"SDSSJ105001.79+134705.1",162.5076,13.7848,,17.02,14.11,7.78,1311,1183,,,4095057,0
4095219,"SDSSJ105146.67+135835.5",162.9444,13.9766,,17.87,15.13,8.43,2949,2822,,,32535,0
32535,"NGC3419",162.8239,13.9459,-1.1,13.7,10.41,10.32,3035,2908,,,32535,0
32540,"NGC3419A",162.833,14.0233,3.8,13.96,12.09,9.65,3080,2953,48.53,18,32535,1
4095197,"SDSSJ105131.34+140653.1",162.8807,14.1148,,,15.5,6.95,832,706,,,32256,0
1276691,"PGC1276691",151.7688,5.0069,10.0,17.19,14.55,8.12,1724,1546,,,1276691,0
3463267,"SDSSJ100724.05+051931.0",151.8502,5.3253,10.0,17.93,15.34,7.73,1604,1427,,,3463267,0
92910,"PGC092910",152.3225,5.4038,7.0,18.2,14.56,8.11,1715,1539,,,92910,0
29746,"UGC05504",153.2045,7.1034,7.2,14.96,12.54,8.82,1545,1377,,,29746,0
2807134,"PGC2807134",153.9978,6.8044,10.0,17.75,15.56,7.5,1370,1201,,,2807134,0
29835,"UGC05522",153.4955,7.0238,6.4,13.92,12.4,8.65,1223,1055,41.88,18,29835,1
4091939,"SDSSJ101020.51+074513.6",152.5856,7.7537,10.0,18.0,15.65,7.39,1269,1103,,,4091939,0
29198,"PGC029198",151.0363,6.5105,3.4,15.4,13.18,8.25,1128,956,,,29198,0
87189,"PGC087189",148.2446,8.0281,8.5,,14.43,8.57,2641,2475,,,87189,0
1341454,"PGC1341454",148.1463,8.1991,9.0,16.38,13.67,8.91,2727,2562,,,1341454,0
28627,"PGC028627",148.8732,8.3908,2.0,15.03,10.87,9.3,1273,1109,,,28627,0
28590,"NGC3049",148.7069,9.2714,2.5,13.16,10.39,9.63,1457,1298,19.59,14,28590,1
3998748,"SDSSJ100109.46+084655.6",150.2895,8.7821,-5.0,17.83,13.48,8.18,1168,1007,,,3998748,0
3998512,"SDSSJ095042.36+084353.6",147.6766,8.7316,,16.81,12.76,9.31,2828,2666,,,3998512,0
3461370,"SDSSJ095211.34+084410.7",148.0471,8.7363,9.0,16.34,14.06,8.93,3312,3149,,,3461370,0
4017430,"SDSSJ095125.19+090305.8",147.8552,9.0516,,18.29,15.37,8.37,3159,2998,,,4017430,0
3998577,"SDSSJ095407.30+092135.5",148.5306,9.3598,,16.96,13.91,8.23,1463,1304,,,28590,0
3998585,"SDSSJ095430.46+095212.1",148.6269,9.87,,17.79,15.03,7.8,1493,1336,,,3998585,0
3998444,"SDSSJ094754.48+093045.8",146.977,9.5128,-5.0,16.94,12.59,9.44,3038,2880,,,3998444,0
1365943,"PGC1365943",147.4042,9.4949,7.0,17.19,13.93,8.91,3048,2890,,,1365943,0
28085,"PGC028085",146.7039,9.7361,-2.0,14.43,11.25,9.97,2997,2839,,,28085,0
3531884,"SDSSJ094705.74+095105.8",146.774,9.8516,10.0,17.84,15.27,8.37,3039,2882,,,28085,0
3998447,"SDSSJ094800.79+095815.4",147.0033,9.971,-5.0,16.56,12.38,9.53,3054,2898,,,3998447,0
3998484,"SDSSJ094919.82+095513.7",147.3325,9.9205,-5.0,17.32,13.15,9.22,3028,2872,,,3998447,0
4010349,"SDSSJ095043.15+095703.8",147.6798,9.951,10.0,18.16,15.6,8.22,2972,2816,,,4010349,0
1384653,"PGC1384653",147.745,10.8015,6.5,16.56,13.24,9.23,3183,3031,,,1384653,0
28821,"UGC05358",149.6962,11.3884,3.1,14.52,10.22,10.36,2911,2762,46.56,25,28821,1
29428,"UGC05456",151.8324,10.362,9.0,12.92,11.62,8.1,544,391,10.52,9,29428,1
1382354,"PGC1382354",151.5159,10.6377,5.0,16.49,13.18,8.59,1560,1408,,,1382354,0
29126,"UGC05409",150.7646,10.7459,5.0,14.31,11.84,9.74,3012,2860,,,29126,0
2807200,"PGC2807200",150.966,11.1001,9.0,17.39,15.07,8.53,3299,3149,,,2807200,0
1388812,"PGC1388812",151.5452,11.1005,7.0,15.74,14.01,8.7,2502,2352,,,1388812,0
1390693,"PGC1390693",151.7065,11.2358,8.0,17.85,15.11,8.46,3124,2975,,,1390693,0
1407829,"PGC1407829",153.1125,12.3437,9.0,17.16,14.2,8.77,2936,2793,,,1407829,0
29747,"NGC3153",153.2103,12.6667,5.9,13.23,10.93,10.04,2808,2667,34.67,14,29747,1
3534011,"SDSSJ101251.63+123957.5",153.2152,12.6659,,16.27,12.37,9.47,2805,2664,,,29747,0
3998924,"SDSSJ101033.92+123539.7",152.6413,12.5944,8.0,17.33,14.98,8.41,2773,2631,,,3998924,0
1393760,"PGC1393760",150.7732,11.4464,9.0,16.95,14.07,9.0,3569,3421,,,1393760,0
3998770,"SDSSJ100210.38+113836.4",150.5433,11.6435,9.0,17.58,14.94,8.65,3551,3404,,,3998770,0
